book_name,author_name,book_rating,no_rating,score,no_votes,author_country,author_dob,author_average_rating,authot_no_rating,author_no_review,author_distinct_work,author_followers
"Cellular Biology: Organelles, Structure, Function",April Chloe Terrazas,4.09,67,193,2,The United States,0,4.24,335,66,35,46
Rasmus and the Vagabond,Astrid Lindgren,4.15,2177,193,2,Sweden,1907,4.18,390623,12120,564,2946
"Simpson, the slimy snake, slithers sideways",Rhonda Patton,4.75,8,193,2,The United States,0,0.0,0,262,53,101
Mufaro's Beautiful Daughters: An African Tale,John Steptoe,4.34,20173,193,2,The United States,1950,4.33,24922,1407,23,49
What Do You Say?,Maiyang Saridjo,4.8,5,193,2, ,0,4.38,8,0,4,3
"How to Be a Pirate (How to Train Your Dragon, #2)",Cressida Cowell,4.09,15836,193,2,The United Kingdom,1966,4.15,161961,13659,146,1927
Didi Dodo (Ebook),Jenny Colledge,0.0,2,193,2, ,0,0.0,0,16,10,1
How Do Dinosaurs Go to School?,Jane Yolen,4.09,3808,192,2,The United States,0,3.96,378334,30965,846,2818
What Katy Did Next,Susan Coolidge,3.89,5734,192,2,The United States,1835,3.91,36739,1306,168,156
Captain Underpants Boxed Set (#1-4),Dav Pilkey,4.23,1141,192,2,The United States,1966,4.22,458716,18816,357,2149
Henry's Freedom Box: A True Story from the Underground Railroad,Ellen Levine,4.5,15370,192,2,in The United States,1939,4.39,18397,2670,54,38
Dylan and the Croak Orleans Gang,Rhonda Patton,4.83,12,192,2,The United States,0,0.0,0,262,53,101
"Look Sharpe!: A Caribbean Pirate Adventure (Valkyrie, #3)",Karen Perkins,4.26,54,192,2,in The United Kingdom,0,3.9,2582,378,35,0
Reflecto Girl: Book 1,Violet Plum,0.0,17,192,2,in The United Kingdom,0,4.84,208,61,21,16
Charlie the Horse,Deanie Humphrys-Dunne,4.86,21,192,2, ,0,4.88,164,117,12,0
Aliens Love Underpants,Claire Freedman,4.11,4300,192,2, ,0,3.93,14112,1804,167,44
"Under Wildwood (Wildwood Chronicles, #2)",Colin Meloy,3.97,7102,192,2,The United States,1974,3.76,45451,5394,16,673
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,120831,192,2,South Africa,1892,4.35,9521964,157438,385,63044
Messy Bug (Ebook),Jenny Colledge,0.0,2,192,2, ,0,0.0,0,16,10,1
"Help Me, Mr. Mutt!: Expert Answers for Dogs with People Problems",Janet Stevens,4.11,1188,191,2,The United States,1953,4.12,40187,2975,61,45
The Golden Road,L.M. Montgomery,3.99,5241,191,2,Canada,1874,4.22,1849989,73327,575,9716
Rocket to the Moon,Kelli Sullivan,4.7,10,191,2,Canada,0,3.82,275,36,3,44
My Bus Driver Is A Polar Bear,David Jacks,4.73,55,191,2, ,0,4.81,243,22,18,7
The Water Hole,Graeme Base,4.26,2914,191,2,The United Kingdom,1958,4.23,45629,2324,45,315
Reflecto Girl and Other Stories: Comic Book for Kids,Violet Plum,0.0,10,191,2,in The United Kingdom,0,4.84,208,61,21,16
"Ozma of Oz (Oz, #3)",L. Frank Baum,3.94,24012,191,2,The United States,1856,3.96,621467,26240,530,2292
Rudolph the Red-Nosed Reindeer,Barbara Shook Hazen,4.32,39944,191,2, ,0,4.3,40690,432,108,11
"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,4.04,132837,191,2,The United States,0,3.98,2215394,82017,89,22331
Chicks and Salsa,Aaron Reynolds,4.04,873,190,2, ,0,4.09,32766,5294,60,88
Judy Moody Saves the World! (Judy Moody #3),Megan McDonald,4.05,7390,190,2,The United States,0,4.04,124286,6969,275,648
"Judy Moody Predicts the Future (Judy Moody, #4)",Megan McDonald,4.08,5639,190,2,The United States,0,4.04,124286,6969,275,648
The Girl Who Drank the Moon,Kelly Barnhill,4.12,73090,190,2,in Minneapolis,0,4.07,90532,15308,54,1967
"The White Mountains (The Tripods, #1)",John Christopher,3.95,12414,189,2,The United Kingdom,1922,3.93,50623,3566,116,457
Mr. Putter & Tabby Fly the Plane,Cynthia Rylant,4.2,540,189,2,The United States,1954,4.06,127371,12350,304,688
Belstarr The Lost Toymaker,David Jacks,4.67,55,189,2, ,0,4.81,243,22,18,7
Ask Mr. Bear,Marjorie Flack,3.93,742,189,2,The United States,1897,4.17,56562,1215,30,30
"Runaway Ralph (Ralph S. Mouse, #2)",Beverly Cleary,3.95,22773,189,2,The United States,1916,4.01,839095,23365,118,2931
Escape to Witch Mountain,Alexander Key,3.9,3390,188,2,The United States,1904,3.93,7345,760,34,84
Worzel Gummidge,Barbara Euphan Todd,3.69,221,188,2,The United Kingdom,1890,3.9,778,121,19,6
The Enormous Crocodile,Roald Dahl,3.78,19832,188,2,The United Kingdom,1916,4.13,3686194,106990,678,22312
"Fat Cat Rat Mat (Ebook; My Fun Phonic Storybook, #1)",Jenny Colledge,0.0,2,188,2, ,0,0.0,0,16,10,1
Not a Stick,Antoinette Portis,4.18,3918,187,2, ,0,4.11,27075,2979,16,106
Chickens to the Rescue,John Himmelman,4.09,2523,187,2,The United States,0,3.99,9209,1451,98,32
Tails of Sweetbrier,Deanie Humphrys-Dunne,4.94,18,187,2, ,0,4.88,164,117,12,0
The Baby Unicorn,Jean Marzollo,4.38,199,187,2,The United States,1942,4.11,19228,1495,202,67
The Real Mother Goose,Blanche Fisher Wright,4.31,36583,187,2, ,0,4.31,36788,375,33,14
Bug on a Bike,Chris Monroe,3.66,206,187,2, ,0,3.86,2438,532,28,19
"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,3.99,203585,187,2,The United States,0,3.98,2215394,82017,89,22331
The Christmas Miracle of Jonathan Toomey,Susan Wojciechowski,4.44,11200,186,2, ,0,4.41,11751,579,16,14
How Do Dinosaurs Count to Ten?,Jane Yolen,4.04,1865,186,2,The United States,0,3.96,378334,30965,846,2818
The Puzzle Ring,Kate Forsyth,4.09,915,186,2,Australia,0,4.07,52275,4107,74,0
"Judy Moody, M.D.: The Doctor is In! (Judy Moody #5)",Megan McDonald,4.1,5642,186,2,The United States,0,4.04,124286,6969,275,648
The Rainbow Goblins,Ul De Rico,4.43,1528,186,2,Italy,1944,4.39,1677,176,3,16
"Fat Cat Rat Mat (My Fun Phonic Storybook, #1)",Jenny Colledge,0.0,2,186,2, ,0,0.0,0,16,10,1
The Tenth Good Thing About Barney,Judith Viorst,4.26,1293,185,2,The United States,1931,4.2,209549,6376,70,393
